person_id,from_date,to_date,store_id
1757800,2022-12-07,2022-12-31,2
1757804,2022-09-15,2022-11-06,2
1757806,2019-12-17,2020-01-16,2
1757808,2019-10-05,2020-01-15,2
1757812,2019-12-18,2020-01-18,2
1757821,2021-06-26,2021-08-25,2
1757824,2021-06-26,2021-07-25,2
1757827,2019-05-27,2019-09-25,2
1757830,2022-11-29,2022-12-31,2
1775049,2023-11-22,2023-12-30,2
